date,product,category,quantity,unit_price
2026-01-03,Notebook,Eletrônicos,2,3500
2026-01-05,Mouse,Eletrônicos,5,120
2026-01-08,Cadeira,Escritório,2,850
2026-01-12,Teclado,Eletrônicos,3,250
2026-01-15,Monitor,Eletrônicos,2,1400
2026-01-18,Mesa,Escritório,1,1200
2026-01-22,Headset,Eletrônicos,4,300
2026-01-25,Notebook,Eletrônicos,1,3500
2026-02-02,Cadeira,Escritório,3,850
2026-02-07,Monitor,Eletrônicos,4,1400
2026-02-10,Mouse,Eletrônicos,8,120
2026-02-14,Mesa,Escritório,2,1200
2026-02-18,Teclado,Eletrônicos,5,250
2026-02-21,Headset,Eletrônicos,6,300
2026-02-25,Notebook,Eletrônicos,2,3500
2026-03-03,Monitor,Eletrônicos,3,1400
2026-03-06,Cadeira,Escritório,4,850
2026-03-10,Mouse,Eletrônicos,10,120
2026-03-14,Mesa,Escritório,2,1200
2026-03-18,Teclado,Eletrônicos,7,250
2026-03-22,Headset,Eletrônicos,5,300
2026-03-26,Notebook,Eletrônicos,2,3500
2026-04-02,Monitor,Eletrônicos,5,1400
2026-04-07,Cadeira,Escritório,3,850
2026-04-11,Mouse,Eletrônicos,12,120
2026-04-15,Mesa,Escritório,3,1200
2026-04-20,Teclado,Eletrônicos,8,250
2026-04-24,Headset,Eletrônicos,7,300
2026-04-28,Notebook,Eletrônicos,3,3500
